pokemon,url,pokedex_num,elem_1,elem_2,species,height_meters,weight_kg,male,female,hp,attack,defense,sp_atk,sp_def,speed,total
Slowking,https://pokemondb.net/pokedex/slowking,0199,Water,Psychic,Royal Pokémon,2,79.5,50,50,95,75,80,100,110,30,490
Misdreavus,https://pokemondb.net/pokedex/misdreavus,0200,Ghost,,Screech Pokémon,0.7,1,50,50,60,60,60,85,85,85,435
Unown,https://pokemondb.net/pokedex/unown,0201,Psychic,,Symbol Pokémon,0.5,5,0,0,48,72,48,72,48,48,336
Wobbuffet,https://pokemondb.net/pokedex/wobbuffet,0202,Psychic,,Patient Pokémon,1.3,28.5,50,50,190,33,58,33,58,33,405
Girafarig,https://pokemondb.net/pokedex/girafarig,0203,Normal,Psychic,Long Neck Pokémon,1.5,41.5,50,50,70,80,65,90,65,85,455
Pineco,https://pokemondb.net/pokedex/pineco,0204,Bug,,Bagworm Pokémon,0.6,7.2,50,50,50,65,90,35,35,15,290
Forretress,https://pokemondb.net/pokedex/forretress,0205,Bug,Steel,Bagworm Pokémon,1.2,125.8,50,50,75,90,140,60,60,40,465
Dunsparce,https://pokemondb.net/pokedex/dunsparce,0206,Normal,,Land Snake Pokémon,1.5,14,50,50,100,70,70,65,65,45,415
Gligar,https://pokemondb.net/pokedex/gligar,0207,Ground,Flying,FlyScorpion Pokémon,1.1,64.8,50,50,65,75,105,35,65,85,430
Steelix,https://pokemondb.net/pokedex/steelix,0208,Steel,Ground,Iron Snake Pokémon,9.2,400,50,50,75,85,200,55,65,30,510
Snubbull,https://pokemondb.net/pokedex/snubbull,0209,Fairy,,Fairy Pokémon,0.6,7.8,25,75,60,80,50,40,40,30,300
Granbull,https://pokemondb.net/pokedex/granbull,0210,Fairy,,Fairy Pokémon,1.4,48.7,25,75,90,120,75,60,60,45,450
Qwilfish,https://pokemondb.net/pokedex/qwilfish,0211,Water,Poison,Balloon Pokémon,0.5,3.9,50,50,65,95,85,55,55,85,440
Scizor,https://pokemondb.net/pokedex/scizor,0212,Bug,Steel,Pincer Pokémon,1.8,118,50,50,70,130,100,55,80,65,500
Shuckle,https://pokemondb.net/pokedex/shuckle,0213,Bug,Rock,Mold Pokémon,0.6,20.5,50,50,20,10,230,10,230,5,505
Heracross,https://pokemondb.net/pokedex/heracross,0214,Bug,Fighting,Single Horn Pokémon,1.5,54,50,50,80,125,75,40,95,85,500
Sneasel,https://pokemondb.net/pokedex/sneasel,0215,Dark,Ice,Sharp Claw Pokémon,0.9,28,50,50,55,95,55,35,75,115,430
Teddiursa,https://pokemondb.net/pokedex/teddiursa,0216,Normal,,Little Bear Pokémon,0.6,8.8,50,50,60,80,50,50,50,40,330
Ursaring,https://pokemondb.net/pokedex/ursaring,0217,Normal,,Hibernator Pokémon,1.8,125.8,50,50,90,130,75,75,75,55,500
Slugma,https://pokemondb.net/pokedex/slugma,0218,Fire,,Lava Pokémon,0.7,35,50,50,40,40,40,70,40,20,250
Magcargo,https://pokemondb.net/pokedex/magcargo,0219,Fire,Rock,Lava Pokémon,0.8,55,50,50,60,50,120,90,80,30,430
Swinub,https://pokemondb.net/pokedex/swinub,0220,Ice,Ground,Pig Pokémon,0.4,6.5,50,50,50,50,40,30,30,50,250
Piloswine,https://pokemondb.net/pokedex/piloswine,0221,Ice,Ground,Swine Pokémon,1.1,55.8,50,50,100,100,80,60,60,50,450
Corsola,https://pokemondb.net/pokedex/corsola,0222,Water,Rock,Coral Pokémon,0.6,5,25,75,65,55,95,65,95,35,410
Remoraid,https://pokemondb.net/pokedex/remoraid,0223,Water,,Jet Pokémon,0.6,12,50,50,35,65,35,65,35,65,300
Octillery,https://pokemondb.net/pokedex/octillery,0224,Water,,Jet Pokémon,0.9,28.5,50,50,75,105,75,105,75,45,480
Delibird,https://pokemondb.net/pokedex/delibird,0225,Ice,Flying,Delivery Pokémon,0.9,16,50,50,45,55,45,65,45,75,330
Mantine,https://pokemondb.net/pokedex/mantine,0226,Water,Flying,Kite Pokémon,2.1,220,50,50,85,40,70,80,140,70,485
Skarmory,https://pokemondb.net/pokedex/skarmory,0227,Steel,Flying,Armor Bird Pokémon,1.7,50.5,50,50,65,80,140,40,70,70,465
Houndour,https://pokemondb.net/pokedex/houndour,0228,Dark,Fire,Dark Pokémon,0.6,10.8,50,50,45,60,30,80,50,65,330
Houndoom,https://pokemondb.net/pokedex/houndoom,0229,Dark,Fire,Dark Pokémon,1.4,35,50,50,75,90,50,110,80,95,500
Kingdra,https://pokemondb.net/pokedex/kingdra,0230,Water,Dragon,Dragon Pokémon,1.8,152,50,50,75,95,95,95,95,85,540
Phanpy,https://pokemondb.net/pokedex/phanpy,0231,Ground,,Long Nose Pokémon,0.5,33.5,50,50,90,60,60,40,40,40,330
Donphan,https://pokemondb.net/pokedex/donphan,0232,Ground,,Armor Pokémon,1.1,120,50,50,90,120,120,60,60,50,500
Porygon2,https://pokemondb.net/pokedex/porygon2,0233,Normal,,Virtual Pokémon,0.6,32.5,0,0,85,80,90,105,95,60,515
Stantler,https://pokemondb.net/pokedex/stantler,0234,Normal,,Big Horn Pokémon,1.4,71.2,50,50,73,95,62,85,65,85,465
Smeargle,https://pokemondb.net/pokedex/smeargle,0235,Normal,,Painter Pokémon,1.2,58,50,50,55,20,35,20,45,75,250
Tyrogue,https://pokemondb.net/pokedex/tyrogue,0236,Fighting,,Scuffle Pokémon,0.7,21,100,0,35,35,35,35,35,35,210
Hitmontop,https://pokemondb.net/pokedex/hitmontop,0237,Fighting,,Handstand Pokémon,1.4,48,100,0,50,95,95,35,110,70,455
Smoochum,https://pokemondb.net/pokedex/smoochum,0238,Ice,Psychic,Kiss Pokémon,0.4,6,0,100,45,30,15,85,65,65,305
Elekid,https://pokemondb.net/pokedex/elekid,0239,Electric,,Electric Pokémon,0.6,23.5,75,25,45,63,37,65,55,95,360
Magby,https://pokemondb.net/pokedex/magby,0240,Fire,,Live Coal Pokémon,0.7,21.4,75,25,45,75,37,70,55,83,365
Miltank,https://pokemondb.net/pokedex/miltank,0241,Normal,,Milk Cow Pokémon,1.2,75.5,0,100,95,80,105,40,70,100,490
Blissey,https://pokemondb.net/pokedex/blissey,0242,Normal,,Happiness Pokémon,1.5,46.8,0,100,255,10,10,75,135,55,540
Raikou,https://pokemondb.net/pokedex/raikou,0243,Electric,,Thunder Pokémon,1.9,178,0,0,90,85,75,115,100,115,580
Entei,https://pokemondb.net/pokedex/entei,0244,Fire,,Volcano Pokémon,2.1,198,0,0,115,115,85,90,75,100,580
Suicune,https://pokemondb.net/pokedex/suicune,0245,Water,,Aurora Pokémon,2,187,0,0,100,75,115,90,115,85,580
Larvitar,https://pokemondb.net/pokedex/larvitar,0246,Rock,Ground,Rock Skin Pokémon,0.6,72,50,50,50,64,50,45,50,41,300
Pupitar,https://pokemondb.net/pokedex/pupitar,0247,Rock,Ground,Hard Shell Pokémon,1.2,152,50,50,70,84,70,65,70,51,410
Tyranitar,https://pokemondb.net/pokedex/tyranitar,0248,Rock,Dark,Armor Pokémon,2,202,50,50,100,134,110,95,100,61,600
Lugia,https://pokemondb.net/pokedex/lugia,0249,Psychic,Flying,Diving Pokémon,5.2,216,0,0,106,90,130,90,154,110,680
Ho-oh,https://pokemondb.net/pokedex/ho-oh,0250,Fire,Flying,Rainbow Pokémon,3.8,199,0,0,106,130,90,110,154,90,680
Celebi,https://pokemondb.net/pokedex/celebi,0251,Psychic,Grass,Time Travel Pokémon,0.6,5,0,0,100,100,100,100,100,100,600
Treecko,https://pokemondb.net/pokedex/treecko,0252,Grass,,Wood Gecko Pokémon,0.5,5,87.5,12.5,40,45,35,65,55,70,310
Grovyle,https://pokemondb.net/pokedex/grovyle,0253,Grass,,Wood Gecko Pokémon,0.9,21.6,87.5,12.5,50,65,45,85,65,95,405
Sceptile,https://pokemondb.net/pokedex/sceptile,0254,Grass,,Forest Pokémon,1.7,52.2,87.5,12.5,70,85,65,105,85,120,530
Torchic,https://pokemondb.net/pokedex/torchic,0255,Fire,,Chick Pokémon,0.4,2.5,87.5,12.5,45,60,40,70,50,45,310
Combusken,https://pokemondb.net/pokedex/combusken,0256,Fire,Fighting,Young Fowl Pokémon,0.9,19.5,87.5,12.5,60,85,60,85,60,55,405
Blaziken,https://pokemondb.net/pokedex/blaziken,0257,Fire,Fighting,Blaze Pokémon,1.9,52,87.5,12.5,80,120,70,110,70,80,530
Mudkip,https://pokemondb.net/pokedex/mudkip,0258,Water,,Mud Fish Pokémon,0.4,7.6,87.5,12.5,50,70,50,50,50,40,310
Marshtomp,https://pokemondb.net/pokedex/marshtomp,0259,Water,Ground,Mud Fish Pokémon,0.7,28,87.5,12.5,70,85,70,60,70,50,405
Swampert,https://pokemondb.net/pokedex/swampert,0260,Water,Ground,Mud Fish Pokémon,1.5,81.9,87.5,12.5,100,110,90,85,90,60,535
Poochyena,https://pokemondb.net/pokedex/poochyena,0261,Dark,,Bite Pokémon,0.5,13.6,50,50,35,55,35,30,30,35,220
Mightyena,https://pokemondb.net/pokedex/mightyena,0262,Dark,,Bite Pokémon,1,37,50,50,70,90,70,60,60,70,420
Zigzagoon,https://pokemondb.net/pokedex/zigzagoon,0263,Normal,,TinyRaccoon Pokémon,0.4,17.5,50,50,38,30,41,30,41,60,240
Linoone,https://pokemondb.net/pokedex/linoone,0264,Normal,,Rushing Pokémon,0.5,32.5,50,50,78,70,61,50,61,100,420
Wurmple,https://pokemondb.net/pokedex/wurmple,0265,Bug,,Worm Pokémon,0.3,3.6,50,50,45,45,35,20,30,20,195
Silcoon,https://pokemondb.net/pokedex/silcoon,0266,Bug,,Cocoon Pokémon,0.6,10,50,50,50,35,55,25,25,15,205
Beautifly,https://pokemondb.net/pokedex/beautifly,0267,Bug,Flying,Butterfly Pokémon,1,28.4,50,50,60,70,50,100,50,65,395
Cascoon,https://pokemondb.net/pokedex/cascoon,0268,Bug,,Cocoon Pokémon,0.7,11.5,50,50,50,35,55,25,25,15,205
Dustox,https://pokemondb.net/pokedex/dustox,0269,Bug,Poison,Poison Moth Pokémon,1.2,31.6,50,50,60,50,70,50,90,65,385
Lotad,https://pokemondb.net/pokedex/lotad,0270,Water,Grass,Water Weed Pokémon,0.5,2.6,50,50,40,30,30,40,50,30,220
Lombre,https://pokemondb.net/pokedex/lombre,0271,Water,Grass,Jolly Pokémon,1.2,32.5,50,50,60,50,50,60,70,50,340
Ludicolo,https://pokemondb.net/pokedex/ludicolo,0272,Water,Grass,Carefree Pokémon,1.5,55,50,50,80,70,70,90,100,70,480
Seedot,https://pokemondb.net/pokedex/seedot,0273,Grass,,Acorn Pokémon,0.5,4,50,50,40,40,50,30,30,30,220
Nuzleaf,https://pokemondb.net/pokedex/nuzleaf,0274,Grass,Dark,Wily Pokémon,1,28,50,50,70,70,40,60,40,60,340
Shiftry,https://pokemondb.net/pokedex/shiftry,0275,Grass,Dark,Wicked Pokémon,1.3,59.6,50,50,90,100,60,90,60,80,480
Taillow,https://pokemondb.net/pokedex/taillow,0276,Normal,Flying,TinySwallow Pokémon,0.3,2.3,50,50,40,55,30,30,30,85,270
Swellow,https://pokemondb.net/pokedex/swellow,0277,Normal,Flying,Swallow Pokémon,0.7,19.8,50,50,60,85,60,75,50,125,455
Wingull,https://pokemondb.net/pokedex/wingull,0278,Water,Flying,Seagull Pokémon,0.6,9.5,50,50,40,30,30,55,30,85,270
Pelipper,https://pokemondb.net/pokedex/pelipper,0279,Water,Flying,Water Bird Pokémon,1.2,28,50,50,60,50,100,95,70,65,440
Ralts,https://pokemondb.net/pokedex/ralts,0280,Psychic,Fairy,Feeling Pokémon,0.4,6.6,50,50,28,25,25,45,35,40,198
Kirlia,https://pokemondb.net/pokedex/kirlia,0281,Psychic,Fairy,Emotion Pokémon,0.8,20.2,50,50,38,35,35,65,55,50,278
Gardevoir,https://pokemondb.net/pokedex/gardevoir,0282,Psychic,Fairy,Embrace Pokémon,1.6,48.4,50,50,68,65,65,125,115,80,518
Surskit,https://pokemondb.net/pokedex/surskit,0283,Bug,Water,Pond Skater Pokémon,0.5,1.7,50,50,40,30,32,50,52,65,269
Masquerain,https://pokemondb.net/pokedex/masquerain,0284,Bug,Flying,Eyeball Pokémon,0.8,3.6,50,50,70,60,62,100,82,80,454
Shroomish,https://pokemondb.net/pokedex/shroomish,0285,Grass,,Mushroom Pokémon,0.4,4.5,50,50,60,40,60,40,60,35,295
Breloom,https://pokemondb.net/pokedex/breloom,0286,Grass,Fighting,Mushroom Pokémon,1.2,39.2,50,50,60,130,80,60,60,70,460
Slakoth,https://pokemondb.net/pokedex/slakoth,0287,Normal,,Slacker Pokémon,0.8,24,50,50,60,60,60,35,35,30,280
Vigoroth,https://pokemondb.net/pokedex/vigoroth,0288,Normal,,Wild Monkey Pokémon,1.4,46.5,50,50,80,80,80,55,55,90,440
Slaking,https://pokemondb.net/pokedex/slaking,0289,Normal,,Lazy Pokémon,2,130.5,50,50,150,160,100,95,65,100,670
Nincada,https://pokemondb.net/pokedex/nincada,0290,Bug,Ground,Trainee Pokémon,0.5,5.5,50,50,31,45,90,30,30,40,266
Ninjask,https://pokemondb.net/pokedex/ninjask,0291,Bug,Flying,Ninja Pokémon,0.8,12,50,50,61,90,45,50,50,160,456
Shedinja,https://pokemondb.net/pokedex/shedinja,0292,Bug,Ghost,Shed Pokémon,0.8,1.2,0,0,1,90,45,30,30,40,236
Whismur,https://pokemondb.net/pokedex/whismur,0293,Normal,,Whisper Pokémon,0.6,16.3,50,50,64,51,23,51,23,28,240
Loudred,https://pokemondb.net/pokedex/loudred,0294,Normal,,Big Voice Pokémon,1,40.5,50,50,84,71,43,71,43,48,360
Exploud,https://pokemondb.net/pokedex/exploud,0295,Normal,,Loud Noise Pokémon,1.5,84,50,50,104,91,63,91,73,68,490
Makuhita,https://pokemondb.net/pokedex/makuhita,0296,Fighting,,Guts Pokémon,1,86.4,75,25,72,60,30,20,30,25,237
Hariyama,https://pokemondb.net/pokedex/hariyama,0297,Fighting,,Arm Thrust Pokémon,2.3,253.8,75,25,144,120,60,40,60,50,474
Azurill,https://pokemondb.net/pokedex/azurill,0298,Normal,Fairy,Polka Dot Pokémon,0.2,2,25,75,50,20,40,20,40,20,190
Nosepass,https://pokemondb.net/pokedex/nosepass,0299,Rock,,Compass Pokémon,1,97,50,50,30,45,135,45,90,30,375
Skitty,https://pokemondb.net/pokedex/skitty,0300,Normal,,Kitten Pokémon,0.6,11,25,75,50,45,45,35,35,50,260
Delcatty,https://pokemondb.net/pokedex/delcatty,0301,Normal,,Prim Pokémon,1.1,32.6,25,75,70,65,65,55,55,90,400
Sableye,https://pokemondb.net/pokedex/sableye,0302,Dark,Ghost,Darkness Pokémon,0.5,11,50,50,50,75,75,65,65,50,380
Mawile,https://pokemondb.net/pokedex/mawile,0303,Steel,Fairy,Deceiver Pokémon,0.6,11.5,50,50,50,85,85,55,55,50,380
Aron,https://pokemondb.net/pokedex/aron,0304,Steel,Rock,Iron Armor Pokémon,0.4,60,50,50,50,70,100,40,40,30,330
Lairon,https://pokemondb.net/pokedex/lairon,0305,Steel,Rock,Iron Armor Pokémon,0.9,120,50,50,60,90,140,50,50,40,430
Aggron,https://pokemondb.net/pokedex/aggron,0306,Steel,Rock,Iron Armor Pokémon,2.1,360,50,50,70,110,180,60,60,50,530
Meditite,https://pokemondb.net/pokedex/meditite,0307,Fighting,Psychic,Meditate Pokémon,0.6,11.2,50,50,30,40,55,40,55,60,280
Medicham,https://pokemondb.net/pokedex/medicham,0308,Fighting,Psychic,Meditate Pokémon,1.3,31.5,50,50,60,60,75,60,75,80,410
Electrike,https://pokemondb.net/pokedex/electrike,0309,Electric,,Lightning Pokémon,0.6,15.2,50,50,40,45,40,65,40,65,295
Manectric,https://pokemondb.net/pokedex/manectric,0310,Electric,,Discharge Pokémon,1.5,40.2,50,50,70,75,60,105,60,105,475
Plusle,https://pokemondb.net/pokedex/plusle,0311,Electric,,Cheering Pokémon,0.4,4.2,50,50,60,50,40,85,75,95,405
Minun,https://pokemondb.net/pokedex/minun,0312,Electric,,Cheering Pokémon,0.4,4.2,50,50,60,40,50,75,85,95,405
Volbeat,https://pokemondb.net/pokedex/volbeat,0313,Bug,,Firefly Pokémon,0.7,17.7,100,0,65,73,75,47,85,85,430
Illumise,https://pokemondb.net/pokedex/illumise,0314,Bug,,Firefly Pokémon,0.6,17.7,0,100,65,47,75,73,85,85,430
Roselia,https://pokemondb.net/pokedex/roselia,0315,Grass,Poison,Thorn Pokémon,0.3,2,50,50,50,60,45,100,80,65,400
Gulpin,https://pokemondb.net/pokedex/gulpin,0316,Poison,,Stomach Pokémon,0.4,10.3,50,50,70,43,53,43,53,40,302
Swalot,https://pokemondb.net/pokedex/swalot,0317,Poison,,Poison Bag Pokémon,1.7,80,50,50,100,73,83,73,83,55,467
Carvanha,https://pokemondb.net/pokedex/carvanha,0318,Water,Dark,Savage Pokémon,0.8,20.8,50,50,45,90,20,65,20,65,305
Sharpedo,https://pokemondb.net/pokedex/sharpedo,0319,Water,Dark,Brutal Pokémon,1.8,88.8,50,50,70,120,40,95,40,95,460
Wailmer,https://pokemondb.net/pokedex/wailmer,0320,Water,,Ball Whale Pokémon,2,130,50,50,130,70,35,70,35,60,400
Wailord,https://pokemondb.net/pokedex/wailord,0321,Water,,Float Whale Pokémon,14.5,398,50,50,170,90,45,90,45,60,500
Numel,https://pokemondb.net/pokedex/numel,0322,Fire,Ground,Numb Pokémon,0.7,24,50,50,60,60,40,65,45,35,305
Camerupt,https://pokemondb.net/pokedex/camerupt,0323,Fire,Ground,Eruption Pokémon,1.9,220,50,50,70,100,70,105,75,40,460
Torkoal,https://pokemondb.net/pokedex/torkoal,0324,Fire,,Coal Pokémon,0.5,80.4,50,50,70,85,140,85,70,20,470
Spoink,https://pokemondb.net/pokedex/spoink,0325,Psychic,,Bounce Pokémon,0.7,30.6,50,50,60,25,35,70,80,60,330
Grumpig,https://pokemondb.net/pokedex/grumpig,0326,Psychic,,Manipulate Pokémon,0.9,71.5,50,50,80,45,65,90,110,80,470
Spinda,https://pokemondb.net/pokedex/spinda,0327,Normal,,Spot Panda Pokémon,1.1,5,50,50,60,60,60,60,60,60,360
Trapinch,https://pokemondb.net/pokedex/trapinch,0328,Ground,,Ant Pit Pokémon,0.7,15,50,50,45,100,45,45,45,10,290
Vibrava,https://pokemondb.net/pokedex/vibrava,0329,Ground,Dragon,Vibration Pokémon,1.1,15.3,50,50,50,70,50,50,50,70,340
Flygon,https://pokemondb.net/pokedex/flygon,0330,Ground,Dragon,Mystic Pokémon,2,82,50,50,80,100,80,80,80,100,520
Cacnea,https://pokemondb.net/pokedex/cacnea,0331,Grass,,Cactus Pokémon,0.4,51.3,50,50,50,85,40,85,40,35,335
Cacturne,https://pokemondb.net/pokedex/cacturne,0332,Grass,Dark,Scarecrow Pokémon,1.3,77.4,50,50,70,115,60,115,60,55,475
Swablu,https://pokemondb.net/pokedex/swablu,0333,Normal,Flying,Cotton Bird Pokémon,0.4,1.2,50,50,45,40,60,40,75,50,310
Altaria,https://pokemondb.net/pokedex/altaria,0334,Dragon,Flying,Humming Pokémon,1.1,20.6,50,50,75,70,90,70,105,80,490
Zangoose,https://pokemondb.net/pokedex/zangoose,0335,Normal,,Cat Ferret Pokémon,1.3,40.3,50,50,73,115,60,60,60,90,458
Seviper,https://pokemondb.net/pokedex/seviper,0336,Poison,,Fang Snake Pokémon,2.7,52.5,50,50,73,100,60,100,60,65,458
Lunatone,https://pokemondb.net/pokedex/lunatone,0337,Rock,Psychic,Meteorite Pokémon,1,168,0,0,90,55,65,95,85,70,460
Solrock,https://pokemondb.net/pokedex/solrock,0338,Rock,Psychic,Meteorite Pokémon,1.2,154,0,0,90,95,85,55,65,70,460
Barboach,https://pokemondb.net/pokedex/barboach,0339,Water,Ground,Whiskers Pokémon,0.4,1.9,50,50,50,48,43,46,41,60,288
Whiscash,https://pokemondb.net/pokedex/whiscash,0340,Water,Ground,Whiskers Pokémon,0.9,23.6,50,50,110,78,73,76,71,60,468
Corphish,https://pokemondb.net/pokedex/corphish,0341,Water,,Ruffian Pokémon,0.6,11.5,50,50,43,80,65,50,35,35,308
Crawdaunt,https://pokemondb.net/pokedex/crawdaunt,0342,Water,Dark,Rogue Pokémon,1.1,32.8,50,50,63,120,85,90,55,55,468
Baltoy,https://pokemondb.net/pokedex/baltoy,0343,Ground,Psychic,Clay Doll Pokémon,0.5,21.5,0,0,40,40,55,40,70,55,300
Claydol,https://pokemondb.net/pokedex/claydol,0344,Ground,Psychic,Clay Doll Pokémon,1.5,108,0,0,60,70,105,70,120,75,500
Lileep,https://pokemondb.net/pokedex/lileep,0345,Rock,Grass,Sea Lily Pokémon,1,23.8,87.5,12.5,66,41,77,61,87,23,355
Cradily,https://pokemondb.net/pokedex/cradily,0346,Rock,Grass,Barnacle Pokémon,1.5,60.4,87.5,12.5,86,81,97,81,107,43,495
Anorith,https://pokemondb.net/pokedex/anorith,0347,Rock,Bug,Old Shrimp Pokémon,0.7,12.5,87.5,12.5,45,95,50,40,50,75,355
Armaldo,https://pokemondb.net/pokedex/armaldo,0348,Rock,Bug,Plate Pokémon,1.5,68.2,87.5,12.5,75,125,100,70,80,45,495
Feebas,https://pokemondb.net/pokedex/feebas,0349,Water,,Fish Pokémon,0.6,7.4,50,50,20,15,20,10,55,80,200
Milotic,https://pokemondb.net/pokedex/milotic,0350,Water,,Tender Pokémon,6.2,162,50,50,95,60,79,100,125,81,540
Castform,https://pokemondb.net/pokedex/castform,0351,Normal,,Weather Pokémon,0.3,0.8,50,50,70,70,70,70,70,70,420
Kecleon,https://pokemondb.net/pokedex/kecleon,0352,Normal,,Color Swap Pokémon,1,22,50,50,60,90,70,60,120,40,440
Shuppet,https://pokemondb.net/pokedex/shuppet,0353,Ghost,,Puppet Pokémon,0.6,2.3,50,50,44,75,35,63,33,45,295
Banette,https://pokemondb.net/pokedex/banette,0354,Ghost,,Marionette Pokémon,1.1,12.5,50,50,64,115,65,83,63,65,455
Duskull,https://pokemondb.net/pokedex/duskull,0355,Ghost,,Requiem Pokémon,0.8,15,50,50,20,40,90,30,90,25,295
Dusclops,https://pokemondb.net/pokedex/dusclops,0356,Ghost,,Beckon Pokémon,1.6,30.6,50,50,40,70,130,60,130,25,455
Tropius,https://pokemondb.net/pokedex/tropius,0357,Grass,Flying,Fruit Pokémon,2,100,50,50,99,68,83,72,87,51,460
Chimecho,https://pokemondb.net/pokedex/chimecho,0358,Psychic,,Wind Chime Pokémon,0.6,1,50,50,75,50,80,95,90,65,455
Absol,https://pokemondb.net/pokedex/absol,0359,Dark,,Disaster Pokémon,1.2,47,50,50,65,130,60,75,60,75,465
Wynaut,https://pokemondb.net/pokedex/wynaut,0360,Psychic,,Bright Pokémon,0.6,14,50,50,95,23,48,23,48,23,260
Snorunt,https://pokemondb.net/pokedex/snorunt,0361,Ice,,Snow Hat Pokémon,0.7,16.8,50,50,50,50,50,50,50,50,300
Glalie,https://pokemondb.net/pokedex/glalie,0362,Ice,,Face Pokémon,1.5,256.5,50,50,80,80,80,80,80,80,480
Spheal,https://pokemondb.net/pokedex/spheal,0363,Ice,Water,Clap Pokémon,0.8,39.5,50,50,70,40,50,55,50,25,290
Sealeo,https://pokemondb.net/pokedex/sealeo,0364,Ice,Water,Ball Roll Pokémon,1.1,87.6,50,50,90,60,70,75,70,45,410
Walrein,https://pokemondb.net/pokedex/walrein,0365,Ice,Water,Ice Break Pokémon,1.4,150.6,50,50,110,80,90,95,90,65,530
Clamperl,https://pokemondb.net/pokedex/clamperl,0366,Water,,Bivalve Pokémon,0.4,52.5,50,50,35,64,85,74,55,32,345
Huntail,https://pokemondb.net/pokedex/huntail,0367,Water,,Deep Sea Pokémon,1.7,27,50,50,55,104,105,94,75,52,485
Gorebyss,https://pokemondb.net/pokedex/gorebyss,0368,Water,,South Sea Pokémon,1.8,22.6,50,50,55,84,105,114,75,52,485
Relicanth,https://pokemondb.net/pokedex/relicanth,0369,Water,Rock,Longevity Pokémon,1,23.4,87.5,12.5,100,90,130,45,65,55,485
Luvdisc,https://pokemondb.net/pokedex/luvdisc,0370,Water,,Rendezvous Pokémon,0.6,8.7,25,75,43,30,55,40,65,97,330
Bagon,https://pokemondb.net/pokedex/bagon,0371,Dragon,,Rock Head Pokémon,0.6,42.1,50,50,45,75,60,40,30,50,300
Shelgon,https://pokemondb.net/pokedex/shelgon,0372,Dragon,,Endurance Pokémon,1.1,110.5,50,50,65,95,100,60,50,50,420
Salamence,https://pokemondb.net/pokedex/salamence,0373,Dragon,Flying,Dragon Pokémon,1.5,102.6,50,50,95,135,80,110,80,100,600
Beldum,https://pokemondb.net/pokedex/beldum,0374,Steel,Psychic,Iron Ball Pokémon,0.6,95.2,0,0,40,55,80,35,60,30,300
Metang,https://pokemondb.net/pokedex/metang,0375,Steel,Psychic,Iron Claw Pokémon,1.2,202.5,0,0,60,75,100,55,80,50,420
Metagross,https://pokemondb.net/pokedex/metagross,0376,Steel,Psychic,Iron Leg Pokémon,1.6,550,0,0,80,135,130,95,90,70,600
Regirock,https://pokemondb.net/pokedex/regirock,0377,Rock,,Rock Peak Pokémon,1.7,230,0,0,80,100,200,50,100,50,580
Regice,https://pokemondb.net/pokedex/regice,0378,Ice,,Iceberg Pokémon,1.8,175,0,0,80,50,100,100,200,50,580
Registeel,https://pokemondb.net/pokedex/registeel,0379,Steel,,Iron Pokémon,1.9,205,0,0,80,75,150,75,150,50,580
Latias,https://pokemondb.net/pokedex/latias,0380,Dragon,Psychic,Eon Pokémon,1.4,40,0,100,80,80,90,110,130,110,600
Latios,https://pokemondb.net/pokedex/latios,0381,Dragon,Psychic,Eon Pokémon,2,60,100,0,80,90,80,130,110,110,600
Kyogre,https://pokemondb.net/pokedex/kyogre,0382,Water,,Sea Basin Pokémon,4.5,352,0,0,100,100,90,150,140,90,670
Groudon,https://pokemondb.net/pokedex/groudon,0383,Ground,,Continent Pokémon,3.5,950,0,0,100,150,140,100,90,90,670
Rayquaza,https://pokemondb.net/pokedex/rayquaza,0384,Dragon,Flying,Sky High Pokémon,7,206.5,0,0,105,150,90,150,90,95,680
Jirachi,https://pokemondb.net/pokedex/jirachi,0385,Steel,Psychic,Wish Pokémon,0.3,1.1,0,0,100,100,100,100,100,100,600
Deoxys,https://pokemondb.net/pokedex/deoxys,0386,Psychic,,DNA Pokémon,1.7,60.8,0,0,50,150,50,150,50,150,600
Turtwig,https://pokemondb.net/pokedex/turtwig,0387,Grass,,Tiny Leaf Pokémon,0.4,10.2,87.5,12.5,55,68,64,45,55,31,318
Grotle,https://pokemondb.net/pokedex/grotle,0388,Grass,,Grove Pokémon,1.1,97,87.5,12.5,75,89,85,55,65,36,405
Torterra,https://pokemondb.net/pokedex/torterra,0389,Grass,Ground,Continent Pokémon,2.2,310,87.5,12.5,95,109,105,75,85,56,525
Chimchar,https://pokemondb.net/pokedex/chimchar,0390,Fire,,Chimp Pokémon,0.5,6.2,87.5,12.5,44,58,44,58,44,61,309
Monferno,https://pokemondb.net/pokedex/monferno,0391,Fire,Fighting,Playful Pokémon,0.9,22,87.5,12.5,64,78,52,78,52,81,405
Infernape,https://pokemondb.net/pokedex/infernape,0392,Fire,Fighting,Flame Pokémon,1.2,55,87.5,12.5,76,104,71,104,71,108,534
Piplup,https://pokemondb.net/pokedex/piplup,0393,Water,,Penguin Pokémon,0.4,5.2,87.5,12.5,53,51,53,61,56,40,314
Prinplup,https://pokemondb.net/pokedex/prinplup,0394,Water,,Penguin Pokémon,0.8,23,87.5,12.5,64,66,68,81,76,50,405
Empoleon,https://pokemondb.net/pokedex/empoleon,0395,Water,Steel,Emperor Pokémon,1.7,84.5,87.5,12.5,84,86,88,111,101,60,530
